id;successful_forward_passes_percent;fouls_avg;successful_vertical_passes_percent;dribbles_avg;back_pass_to_gk_avg;forward_passes_avg;deep_completed_cross_avg;successful_attacking_actions_avg;accelerations_avg;third_position;minutes_on_field;prevented_goals;through_passes_avg;height;goals;market_value;foul_suffered_avg;accurate_passes_to_final_third_percent;defensive_duels_won;primary_position_percent;shots_avg;full_name;aerial_duels_won;last_club_name;back_passes_avg;shots;progressive_run_avg;successful_through_passes_percent;received_long_pass_avg;successful_dribbles_percent;crosses_avg;current_team_logo;duels_avg;successful_cross_from_left_percent;goalkeeper_exits_avg;domestic_competition_name;accurate_short_medium_pass_percent;key_passes_avg;pre_assist_avg;passport_country_codes;xg_shot;non_penalty_goal;foot;total_matches;defensive_duels_avg;short_medium_pass_avg;long_passes_avg;tackle_avg;passes_avg;cross_from_right_avg;conceded_goals;direct_free_kicks_taken_avg;deep_completed_pass_avg;passes_to_final_third_avg;shots_against;direct_free_kicks_on_target_percent;offensive_duels_won;smart_passes_avg;penalties_conversion_percent;free_kicks_taken_avg;aerial_duels_avg;cross_to_goalie_box_avg;birth_date;yellow_cards_avg;pre_pre_assist_avg;accurate_passes_percent;birth_country_code;xg_shot_avg;xg_assist;duels_won;conceded_goals_avg;image;successful_long_passes_percent;assists_avg;accurate_crosses_percent;on_loan;current_team_name;yellow_cards;weight;possession_adjusted_interceptions;offensive_duels_avg;positions;pass_to_penalty_area_avg;cross_from_left_avg;accurate_smart_passes_percent;penalties_taken;red_cards_avg;head_goals;progressive_pass_avg;received_pass_avg;name;average_pass_length;secondary_position_percent;successful_progressive_pass_percent;xg_save_avg;current_team_color;successful_back_passes_percent;successful_defensive_actions_avg;possession_adjusted_tackle;corners_taken_avg;shot_assists_avg;clean_sheets;red_cards;shot_block_avg;head_goals_avg;xg_save;interceptions_avg;assists;primary_position;goal_conversion_percent;average_long_pass_length;successful_cross_from_right_percent;save_percent;goals_avg;passport_country_names;gk_aerial_duels_avg;prevented_goals_avg;contract_expires;accurate_pass_to_penalty_area_percent;vertical_passes_avg;birth_day;non_penalty_goal_avg;shots_on_target_percent;xg_assist_avg;touch_in_box_avg;secondary_position;shots_against_avg;age;third_position_percent;birth_country_name
496626;63.16;1.96;77.61;1.96;0.0;4.38;0.92;2.54;0.23;RW;780;0.0;0.46;176;3;3000000;1.96;69.23;56.52;46;2.08;Victor Mollejo Carpintero;28.57;Atlético Madrid B;5.65;18;1.96;75.0;1.62;41.18;2.77;https://cdn5.wyscout.com/photos/team/public/2519_120x120.png;17.19;25.0;0.0;Primera Division RFEF;86.25;0.92;0.0;['ESP'];3.07;2;left;11;2.65;18.46;1.85;0.0;23.08;1.73;0;0.0;0.92;3.0;0;0.0;36.67;0.58;100.0;0.69;3.23;0.35;2001-01-21;0.58;0.0;77.0;ESP;0.35;0.72;34.9;0.0;https://cdn5.wyscout.com/photos/players/public/g496626_100x130.png;56.25;0.0;29.17;False;Atlético Madrid B;5;70;1.06;6.92;['CF', 'RWF', 'RW'];2.19;0.92;20.0;1;0.0;0;2.88;18.81;Victor Mollejo;18.31;12;76.0;0.0;d6260b;91.84;2.31;0.0;1.38;0.81;0;0;0.12;0.0;0.0;0.81;0;CF;16.667;25.74;33.33;0.0;0.35;['Spain'];0.0;0.0;2026-06-30;36.84;7.73;2001-01-21;0.23;38.89;0.08;3.12;RWF;0.0;24.0;12;Spain
-278317;56.25;0.93;74.04;6.64;0.21;6.64;0.83;4.88;0.42;0;867;0.0;0.42;184;0;2500000;1.66;66.67;60.53;42;2.18;Noah Darvich;21.43;Barcelona Atlètic;7.27;21;3.74;0.0;2.08;50.0;3.43;https://cdn5.wyscout.com/photos/team/public/2513_120x120.png;18.58;0.0;0.0;Primera Division RFEF;81.17;0.42;0.1;['DEU'];1.49;0;left;25;3.94;23.15;2.49;0.1;28.96;3.01;0;0.0;1.14;3.43;0;0.0;43.36;0.31;0.0;0.0;1.45;0.52;2006-09-25;0.1;0.0;71.68;DEU;0.16;1.31;45.25;0.0;https://cdn5.wyscout.com/reports-img/photo-not-found.png;62.5;0.21;15.15;False;Barcelona Atlètic;1;75;3.09;11.73;['RWF', 'RW'];3.84;0.42;0.0;0;0.0;0;5.4;21.9;N. Darvich;20.67;34;71.15;0.0;b61d4c;92.86;4.26;0.18;0.21;0.62;0;0;0.1;0.0;0.0;1.76;2;RWF;0.0;20.35;17.24;0.0;0.0;['Germany'];0.0;0.0;2026-06-30;29.73;10.8;2006-09-25;0.0;47.62;0.14;2.6;RW;0.0;18.0;0;Germany
-263790;71.0;0.71;94.86;0.53;3.43;25.04;0.13;0.58;0.09;0;2043;0.0;1.07;189;0;2000000;0.09;59.43;68.32;85;0.58;Mamadou Ibra Mbacke Fall;63.49;Barcelona Atlètic;5.03;13;1.96;20.83;0.31;66.67;0.58;https://cdn5.wyscout.com/photos/team/public/2513_120x120.png;10.69;0.0;0.0;Primera Division RFEF;92.08;0.13;0.0;['SEN'];0.75;0;right;25;4.5;59.03;9.22;0.22;68.7;0.58;0;0.0;0.31;10.87;0;0.0;51.43;0.18;0.0;0.0;2.81;0.09;2002-11-21;0.31;0.0;85.47;SEN;0.03;0.53;61.25;0.0;https://cdn5.wyscout.com/photos/players/public/g-263790_100x130.png;46.38;0.0;15.38;False;Barcelona Atlètic;7;74;9.34;1.56;['RCB'];1.25;0.0;25.0;0;0.04;0;11.45;53.51;M. Mbacke;21.62;0;76.65;0.0;b61d4c;96.46;9.18;0.35;0.0;0.27;0;1;0.85;0.0;0.0;5.88;0;RCB;0.0;45.12;15.38;0.0;0.0;['Senegal'];0.0;0.0;2026-06-30;17.86;32.93;2002-11-21;0.0;15.38;0.02;0.8;0;0.0;22.0;0;Senegal
-73583;33.33;2.05;87.5;1.75;0.0;1.75;0.0;1.17;0.29;0;308;0.0;0.29;183;0;2000000;2.05;60.0;50.0;77;0.88;Borja Garcés Moreno;31.58;Atlético Madrid B;2.63;3;0.88;0.0;0.88;50.0;0.0;https://cdn5.wyscout.com/photos/team/public/47_120x120.png;21.62;0.0;0.0;La Liga;76.92;0.29;0.0;['ESP'];0.22;0;right;11;3.51;7.6;0.29;0.0;7.89;0.0;0;0.0;0.29;1.46;0;0.0;41.67;0.29;0.0;0.0;5.55;0.0;1999-08-06;1.17;0.0;74.07;ESP;0.06;0.14;36.49;0.0;https://cdn5.wyscout.com/photos/players/public/g-73583_100x130.png;0.0;0.0;0.0;False;Atlético Madrid;4;76;1.55;7.01;['CF'];0.58;0.0;0.0;0;0.0;0;0.0;7.01;Borja Garcés;12.35;0;0.0;0.0;d6260b;88.89;2.63;0.0;0.0;0.29;0;0;0.0;0.0;0.0;0.88;0;CF;0.0;0.58;0.0;0.0;0.0;['Spain'];0.0;0.0;2025-06-30;50.0;2.34;1999-08-06;0.0;33.33;0.04;1.75;0;0.0;25.0;0;Spain
-73339;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;16;0.0;0.0;180;0;1500000;0.0;0.0;0.0;100;0.0;Alex Forés Mendoza;0.0;Villarreal B;0.0;0;0.0;0.0;0.0;0.0;0.0;https://cdn5.wyscout.com/photos/team/public/1932_120x120.png;0.0;0.0;0.0;Primera Division RFEF;0.0;0.0;0.0;['ESP'];0.0;0;right;1;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2001-04-12;0.0;0.0;0.0;ESP;0.0;0.0;0.0;0.0;https://cdn5.wyscout.com/photos/players/public/g-73339_100x130.png;0.0;0.0;0.0;False;Villarreal B;0;78;0.0;0.0;['CF'];0.0;0.0;0.0;0;0.0;0;0.0;0.0;Alex Forés;15.92;0;0.0;0.0;2b3846;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0;CF;0.0;0.0;0.0;0.0;0.0;['Spain'];0.0;0.0;2026-06-30;0.0;0.0;2001-04-12;0.0;0.0;0.0;0.0;0;0.0;23.0;0;Spain
158589;58.46;1.64;74.74;1.89;0.0;3.14;0.15;2.13;0.0;0;1861;0.0;0.1;193;10;800000;1.79;62.16;48.84;97;2.37;Jürgen Leonardo Locadia;37.5;Intercity SJ D' Alacant;4.93;49;0.63;100.0;2.08;53.85;0.44;https://cdn5.wyscout.com/photos/team/public/g-10918_120x120.png;21.09;50.0;0.0;Primera Division RFEF;79.23;0.15;0.05;['NLD', 'CUR'];5.61;10;right;25;2.08;15.14;0.87;0.0;16.44;0.19;0;0.0;0.77;1.79;0;0.0;31.78;0.05;0.0;0.0;3.48;0.0;1993-11-07;0.15;0.0;76.47;NLD;0.27;0.82;32.34;0.0;https://cdn5.wyscout.com/photos/players/public/80943_100x130.png;55.56;0.05;22.22;False;Intercity SJ D' Alacant;3;78;0.98;10.35;['CF'];0.77;0.19;100.0;0;0.0;2;1.45;9.77;J. Locadia;17.75;0;80.0;0.0;000000;92.16;1.74;0.0;0.0;0.48;0;0;0.0;0.1;0.0;0.73;1;CF;20.408;20.44;0.0;0.0;0.48;['Netherlands', 'Curaçao'];0.0;0.0;2025-06-30;75.0;4.59;1993-11-07;0.48;40.82;0.04;3.43;0;0.0;31.0;0;Netherlands
437567;58.62;1.43;65.38;2.6;0.0;3.78;0.07;2.8;0.13;0;1382;0.0;0.2;174;6;800000;2.08;65.52;61.64;79;2.67;Mo Dauda;27.03;Ibiza;5.27;41;1.76;33.33;1.43;65.0;1.11;https://cdn5.wyscout.com/photos/team/public/g39898_120x120.png;23.51;0.0;0.0;Primera Division RFEF;71.86;0.39;0.07;['GHA'];5.79;6;right;20;4.75;15.04;0.91;0.39;17.0;0.52;0;0.07;0.72;1.89;0;0.0;36.2;0.13;0.0;0.07;4.82;0.2;1998-02-20;0.26;0.0;67.43;GHA;0.38;0.95;38.23;0.0;https://cdn5.wyscout.com/photos/players/public/g437567_100x130.png;64.29;0.0;11.76;True;Ibiza;4;69;3.16;10.62;['CF', 'LAMF'];1.11;0.59;0.0;0;0.07;0;1.43;12.76;M. Dauda;18.27;10;54.55;0.0;000000;82.72;5.21;0.65;0.0;0.72;0;1;0.26;0.0;0.0;1.89;0;CF;14.634;13.62;25.0;0.0;0.39;['Ghana'];0.0;0.0;2026-06-30;47.06;5.08;1998-02-20;0.39;36.59;0.06;4.82;LAMF;0.0;27.0;0;Ghana
58320;69.13;0.42;84.39;1.84;0.15;9.75;0.95;2.86;0.25;0;3617;0.0;0.57;178;11;800000;2.39;72.99;66.33;56;1.79;José María Callejón Bueno;41.33;Marbella;8.96;72;1.44;56.52;1.84;55.41;1.94;https://cdn5.wyscout.com/photos/team/public/2107_120x120.png;12.67;47.37;0.0;Primera Division RFEF;86.19;0.42;0.07;['ESP'];8.47;11;right;38;2.44;30.46;2.81;0.1;35.13;1.0;0;0.27;0.92;5.25;0;9.09;44.0;0.3;0.0;2.36;1.87;0.32;1987-02-11;0.05;0.07;82.22;ESP;0.21;6.79;46.56;0.0;https://cdn5.wyscout.com/photos/players/public/13517_100x130.png;63.72;0.15;47.44;False;Marbella;2;73;1.58;6.84;['CF', 'LWF'];3.14;0.95;41.67;2;0.0;2;6.22;27.12;José Callejón;17.96;13;84.0;0.0;0000FF;91.94;2.84;0.14;2.91;1.39;0;0;0.05;0.05;0.0;1.12;6;CF;15.278;35.69;47.5;0.0;0.27;['Spain'];0.0;0.0;2025-06-30;59.52;10.2;1987-02-11;0.27;44.44;0.17;1.52;LWF;0.0;38.0;0;Spain
62608;62.42;0.53;71.92;1.44;0.38;11.32;0.68;1.22;0.08;RCMF3;1185;0.0;1.06;178;0;800000;1.75;63.64;57.58;40;1.9;Roberto Torres Morales;29.17;Gimnàstic Tarragona;6.68;25;0.53;14.29;0.91;36.84;2.13;https://cdn5.wyscout.com/photos/team/public/781_120x120.png;11.09;23.53;0.0;Primera Division RFEF;79.94;0.76;0.0;['ESP'];1.13;0;right;20;2.51;25.37;6.0;0.0;33.27;0.76;0;0.23;0.46;7.52;0;0.0;37.68;0.23;0.0;1.97;1.82;0.46;1989-03-07;0.15;0.08;71.69;ESP;0.09;3.07;39.73;0.0;https://cdn5.wyscout.com/photos/players/public/67027_100x130.png;50.63;0.23;28.57;False;Gimnàstic Tarragona;2;72;4.03;5.24;['AMF', 'RAMF', 'RCMF3'];3.04;1.29;0.0;0;0.0;0;7.44;23.01;Roberto Torres;20.93;12;73.47;0.0;FF0000;86.36;3.87;0.0;2.43;1.14;0;0;0.0;0.0;0.0;2.43;3;AMF;0.0;32.58;30.0;0.0;0.0;['Spain'];0.0;0.0;0;25.0;11.09;1989-03-07;0.0;4.0;0.23;0.91;RAMF;0.0;36.0;10;Spain
298598;50.0;2.21;68.25;1.55;0.08;3.27;0.33;1.63;0.0;LW;1101;0.0;0.16;187;2;700000;1.06;60.0;47.06;37;1.39;José Manuel García Naranjo;38.0;Ibiza;5.56;17;0.65;0.0;1.06;42.11;0.65;0;18.64;50.0;0.0;0;77.4;0.25;0.0;['ESP'];2.33;2;right;17;4.17;17.0;0.57;0.08;18.15;0.08;0;0.16;0.65;1.23;0;50.0;28.72;0.16;0.0;0.16;4.09;0.08;1994-07-28;0.57;0.0;75.68;ESP;0.19;0.67;35.53;0.0;https://cdn5.wyscout.com/photos/players/public/g298598_100x130.png;57.14;0.0;50.0;False;0;7;75;1.43;7.68;['CF', 'LAMF', 'LW'];1.06;0.49;0.0;0;0.0;1;2.13;14.22;José Naranjo;15.82;31;38.46;0.0;0;92.65;2.94;0.13;0.0;0.9;0;0;0.08;0.08;0.0;0.9;0;CF;11.765;10.62;100.0;0.0;0.16;['Spain'];0.0;0.0;0;53.85;5.15;1994-07-28;0.16;47.06;0.05;2.78;LAMF;0.0;30.0;13;Spain
