id;successful_forward_passes_percent;fouls_avg;successful_vertical_passes_percent;dribbles_avg;back_pass_to_gk_avg;forward_passes_avg;deep_completed_cross_avg;successful_attacking_actions_avg;accelerations_avg;third_position;minutes_on_field;prevented_goals;through_passes_avg;height;goals;market_value;foul_suffered_avg;accurate_passes_to_final_third_percent;defensive_duels_won;primary_position_percent;shots_avg;full_name;aerial_duels_won;last_club_name;back_passes_avg;shots;progressive_run_avg;successful_through_passes_percent;received_long_pass_avg;successful_dribbles_percent;crosses_avg;current_team_logo;duels_avg;successful_cross_from_left_percent;goalkeeper_exits_avg;domestic_competition_name;accurate_short_medium_pass_percent;key_passes_avg;pre_assist_avg;passport_country_codes;xg_shot;non_penalty_goal;foot;total_matches;defensive_duels_avg;short_medium_pass_avg;long_passes_avg;tackle_avg;passes_avg;cross_from_right_avg;conceded_goals;direct_free_kicks_taken_avg;deep_completed_pass_avg;passes_to_final_third_avg;shots_against;direct_free_kicks_on_target_percent;offensive_duels_won;smart_passes_avg;penalties_conversion_percent;free_kicks_taken_avg;aerial_duels_avg;cross_to_goalie_box_avg;birth_date;yellow_cards_avg;pre_pre_assist_avg;accurate_passes_percent;birth_country_code;xg_shot_avg;xg_assist;duels_won;conceded_goals_avg;image;successful_long_passes_percent;assists_avg;accurate_crosses_percent;on_loan;current_team_name;yellow_cards;weight;possession_adjusted_interceptions;offensive_duels_avg;positions;pass_to_penalty_area_avg;cross_from_left_avg;accurate_smart_passes_percent;penalties_taken;red_cards_avg;head_goals;progressive_pass_avg;received_pass_avg;name;average_pass_length;secondary_position_percent;successful_progressive_pass_percent;xg_save_avg;current_team_color;successful_back_passes_percent;successful_defensive_actions_avg;possession_adjusted_tackle;corners_taken_avg;shot_assists_avg;clean_sheets;red_cards;shot_block_avg;head_goals_avg;xg_save;interceptions_avg;assists;primary_position;goal_conversion_percent;average_long_pass_length;successful_cross_from_right_percent;save_percent;goals_avg;passport_country_names;gk_aerial_duels_avg;prevented_goals_avg;contract_expires;accurate_pass_to_penalty_area_percent;vertical_passes_avg;birth_day;non_penalty_goal_avg;shots_on_target_percent;xg_assist_avg;touch_in_box_avg;secondary_position;shots_against_avg;age;third_position_percent;birth_country_name
316494;70.78;0.8;80.65;5.57;0.0;12.45;1.19;5.69;0.74;;1583;;1.31;172;7;20000000;0.91;67.29;51.16;42;3.41;Mohamed Saïd Benrahma;57.14; NEOM;6.31;60;3.41;56.52;2.22;46.94;2.84;https://cdn5.wyscout.com/photos/team/public/g16976_120x120.png;16.2;37.5;;Division 1;84.59;1.19;0.51;['ALG', 'FRA'];5.87;5;right;16;2.44;29.51;2.56;0.0;34.62;0.91;0;0.57;2.22;6.08;0;20.0;32.54;0.85;66.667;1.54;0.4;0.4;1995-08-10;0.0;0.06;79.31;ALG;0.33;5.59;36.49;;https://cdn5.wyscout.com/photos/players/public/g316494_100x130.png;53.33;0.4;44.0;True; NEOM;0;67;0.91;11.88;['AMF', 'CF'];4.61;1.82;60.0;3;0.0;0;6.37;29.68;S. Benrahma;17.95;36;94.64;0.0;000000;90.09;1.82;0.0;2.27;1.82;0;0;0.0;0.0;0.0;0.57;7;AMF;11.667;32.7;56.25;0.0;0.4;['Algeria', 'France'];;;2027-06-30;61.73;8.81;1995-08-10;0.28;38.33;0.32;3.24;CF;;29;0;Algeria
306889;65.82;0.91;75.4;1.59;0.03;5.13;0.29;2.53;0.0;RAMF;2774;;0.19;172;15;5500000;0.71;64.91;58.42;26;2.3;Carlos Alberto Carvalho da Silva Júnior;50.0; NEOM;5.61;71;0.45;16.67;1.85;65.31;1.01;https://cdn5.wyscout.com/photos/team/public/g16976_120x120.png;12.62;35.71;;Division 1;82.28;0.29;0.1;['BRA'];12.47;15;right;28;3.28;19.04;1.23;0.16;21.19;0.52;0;0.0;0.88;1.85;0;0.0;45.11;0.23;0.0;0.0;3.37;0.13;1995-08-15;0.1;0.0;78.87;BRA;0.4;2.58;49.61;;https://cdn5.wyscout.com/photos/players/public/g306889_100x130.png;63.16;0.1;29.03;True; NEOM;3;69;6.14;4.32;['LAMF', 'RW', 'RAMF'];1.56;0.45;28.57;0;0.0;2;2.69;16.42;C. Júnior;15.47;21;69.88;0.0;000000;94.22;5.45;0.3;0.0;0.62;0;0;0.06;0.06;0.0;3.37;3;LAMF;21.127;25.45;25.0;0.0;0.49;['Brazil'];;;2027-06-30;45.83;6.07;1995-08-15;0.49;49.3;0.08;4.02;RW;;29;17;Brazil
351285;100.0;0.0;50.0;0.0;0.0;2.9;1.45;4.35;0.0;;62;;0.0;175;0;3200000;0.0;0.0;0.0;100;2.9;François Kamano;0.0;Abha;10.16;2;0.0;0.0;7.26;0.0;2.9;https://cdn5.wyscout.com/photos/team/public/g9287_120x120.png;2.9;50.0;;Pro League;78.57;0.0;0.0;['GUI'];0.33;0;right;1;0.0;20.32;0.0;0.0;23.23;0.0;0;0.0;0.0;0.0;0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;1996-05-02;0.0;0.0;75.0;GUI;0.48;0.12;100.0;;https://cdn5.wyscout.com/photos/players/public/g351285_100x130.png;0.0;0.0;50.0;False;Dhamk;0;76;0.0;2.9;['LAMF'];2.9;2.9;0.0;0;0.0;0;1.45;24.68;F. Kamano;12.46;0;100.0;0.0;000000;71.43;0.0;0.0;0.0;4.35;0;0;0.0;0.0;0.0;0.0;0;LAMF;0.0;0.0;0.0;0.0;0.0;['Guinea'];;;2025-06-30;50.0;5.81;1996-05-02;0.0;100.0;0.18;2.9;;;29;0;Guinea
112373;83.16;0.66;89.33;2.02;0.05;8.93;0.33;2.87;0.28;;1914;;0.47;174;10;2500000;1.36;87.78;58.14;56;1.79;Romário Ricardo da Silva;40.0; NEOM;9.73;38;1.41;40.0;1.32;60.47;0.94;https://cdn5.wyscout.com/photos/team/public/1250_120x120.png;14.11;33.33;;Qatar Stars League;90.14;0.52;0.19;['BRA'];6.17;9;right;18;2.02;34.8;0.94;0.0;36.68;0.56;0;0.14;1.5;4.23;0;33.33;34.36;0.56;100.0;0.71;1.41;0.14;1990-12-12;0.14;0.14;88.21;BRA;0.29;3.99;38.33;;https://cdn5.wyscout.com/photos/players/public/50840_100x130.png;70.0;0.24;35.0;False;Al Rayyan;3;69;4.2;9.17;['AMF', 'CF'];2.21;0.28;50.0;1;0.0;1;3.43;29.48;Romarinho;15.6;28;82.19;0.0;FF0000;96.62;3.2;0.0;0.71;1.08;0;0;0.0;0.05;0.0;2.02;5;AMF;26.316;23.75;33.33;0.0;0.47;['Brazil'];;;2026-06-30;61.7;10.58;1990-12-12;0.42;57.89;0.19;4.04;CF;;34;0;Brazil
96839;83.74;0.5;93.62;0.54;0.77;23.99;0.39;0.66;0.0;;2330;;0.39;193;0;2000000;0.15;77.78;77.08;92;0.5;Ahmed Hegazy;70.42; NEOM;1.31;13;1.93;30.0;0.5;35.71;0.62;https://cdn5.wyscout.com/photos/team/public/g16976_120x120.png;7.38;0.0;;Division 1;93.65;0.19;0.0;['EGY'];1.93;0;right;23;1.85;41.37;8.92;0.12;50.91;0.54;0;0.0;0.23;8.34;0;0.0;47.17;0.08;0.0;0.0;2.74;0.12;1991-01-25;0.08;0.04;88.77;EGY;0.07;0.6;63.87;;https://cdn5.wyscout.com/photos/players/public/38369_100x130.png;69.26;0.04;43.75;False; NEOM;2;96;6.63;2.05;['RCB'];1.0;0.08;0.0;0;0.0;0;12.52;36.0;Ahmed Hegazy;22.54;0;81.48;0.0;000000;97.06;5.45;0.2;0.0;0.15;0;0;0.66;0.0;0.0;3.9;1;RCB;0.0;38.82;50.0;0.0;0.0;['Egypt'];;;2026-06-30;42.31;21.21;1991-01-25;0.0;38.46;0.02;0.62;;;34;0;Egypt
-61291;72.25;1.07;70.91;3.63;0.0;6.22;0.86;3.66;0.24;RWF;3024;;0.3;180;10;1800000;1.22;63.64;60.0;39;2.47;Andrei Cordea;31.71;Al Ta'ee;6.19;83;1.49;60.0;1.79;54.1;2.23;https://cdn5.wyscout.com/photos/team/public/g3517_120x120.png;16.22;30.77;;Division 1;84.88;0.6;0.0;['ROU'];6.91;10;left;31;3.72;20.86;1.49;0.15;24.49;1.82;0;0.3;1.31;2.62;0;40.0;37.5;0.27;0.0;1.07;1.22;0.33;1999-06-24;0.12;0.0;78.25;ROU;0.21;6.18;42.39;;https://cdn5.wyscout.com/photos/players/public/g-61291_100x130.png;46.0;0.18;36.0;False;Al Ta'ee;4;75;2.62;9.29;['RAMF', 'RW', 'RWF'];2.65;0.39;55.56;0;0.0;1;3.42;18.6;A. Cordea;16.57;33;86.09;0.0;000000;94.71;3.96;0.25;2.68;1.37;0;0;0.03;0.03;0.0;1.58;6;RAMF;12.048;26.29;36.07;0.0;0.3;['Romania'];;;2025-06-30;53.93;6.55;1999-06-24;0.3;30.12;0.18;2.95;RW;;25;14;Romania
312060;53.49;0.78;76.4;1.19;0.0;1.97;0.14;1.79;0.05;;1962;;0.05;191;14;1700000;0.6;52.17;52.38;93;2.29;Mbaye Diagne;53.66; NEOM;2.75;50;0.32;0.0;1.97;30.77;0.41;https://cdn5.wyscout.com/photos/team/public/g16976_120x120.png;10.6;25.0;;Division 1;79.2;0.32;0.05;['SEN'];11.64;11;right;22;0.96;11.47;0.41;0.0;12.25;0.0;0;0.0;0.78;1.06;0;0.0;23.16;0.05;100.0;0.0;3.76;0.09;1991-10-28;0.14;0.0;75.66;SEN;0.53;2.0;38.1;;https://cdn5.wyscout.com/photos/players/public/g312060_100x130.png;22.22;0.23;22.22;False; NEOM;3;90;1.54;4.36;['CF'];0.78;0.37;100.0;3;0.0;4;0.78;9.63;M. Diagne;16.86;0;70.59;0.0;000000;91.67;1.24;0.0;0.0;0.78;0;0;0.09;0.18;0.0;0.73;5;CF;28.0;12.88;0.0;0.0;0.64;['Senegal'];;;2025-06-30;35.29;4.08;1991-10-28;0.5;56.0;0.09;4.4;;;33;0;Senegal
397784;78.61;0.99;91.02;1.52;0.91;17.72;0.27;1.57;0.16;LCMF;3373;;0.59;189;5;1600000;0.51;78.09;62.44;33;1.2;Alfa Semedo Esteves;60.42; NEOM;5.98;45;1.44;31.82;0.43;64.91;0.61;https://cdn5.wyscout.com/photos/team/public/g16976_120x120.png;14.92;36.36;;Division 1;90.32;0.13;0.05;['GNB', 'PRT'];2.41;5;right;32;5.68;47.39;4.8;0.16;52.8;0.29;0;0.21;0.37;10.35;0;12.5;42.05;0.08;0.0;0.24;2.56;0.03;1997-08-30;0.19;0.05;86.81;GNB;0.06;1.96;53.85;;https://cdn5.wyscout.com/photos/players/public/g397784_100x130.png;57.78;0.08;43.48;False; NEOM;7;82;7.44;5.2;['LDMF', 'DMF', 'LCMF'];1.25;0.29;33.33;0;0.0;0;8.78;38.5;Alfa Semedo;19.07;24;80.24;0.0;000000;96.88;7.84;0.29;0.0;0.45;0;0;0.21;0.0;0.0;4.14;3;LDMF;11.111;38.33;54.55;0.0;0.13;['Guinea-Bissau', 'Portugal'];;;2026-06-30;36.17;21.69;1997-08-30;0.13;24.44;0.05;0.64;DMF;;27;18;Guinea-Bissau
245800;72.22;2.01;60.61;0.8;0.0;2.41;0.13;1.34;0.0;;672;;0.0;190;2;1600000;0.54;55.56;42.11;95;1.88;Marko Dugandžić;44.44;Al Ta'ee;4.15;14;0.67;0.0;2.14;33.33;0.67;https://cdn5.wyscout.com/photos/team/public/2428_120x120.png;14.2;33.33;;K League 1;78.79;0.13;0.0;['HRV'];3.32;2;left;13;2.54;13.26;0.13;0.13;14.06;0.27;0;0.0;0.54;1.21;0;0.0;23.33;0.0;0.0;0.0;6.03;0.13;1994-04-07;0.54;0.13;76.19;HRV;0.44;0.28;34.91;;https://cdn5.wyscout.com/photos/players/public/g245800_100x130.png;100.0;0.0;20.0;False;Seoul;4;84;1.56;4.02;['CF'];0.94;0.4;0.0;1;0.0;0;1.07;10.98;M. Dugandžić;14.32;0;87.5;0.0;FF0000;93.55;2.14;0.22;0.0;0.54;0;0;0.27;0.0;0.0;0.94;0;CF;14.286;4.83;0.0;0.0;0.27;['Croatia'];;;2025-06-30;71.43;4.42;1994-04-07;0.27;50.0;0.04;2.41;;;31;0;Croatia
220646;63.07;0.56;89.29;0.33;0.28;14.23;0.05;0.46;0.0;;1936;;0.33;193;2;1500000;0.33;54.23;78.08;94;0.74;Fabián Ariel Noguera;71.95;Abha;0.7;16;0.84;57.14;0.23;57.14;0.09;https://cdn5.wyscout.com/photos/team/public/3377_120x120.png;8.74;0.0;;Division 1;83.69;0.09;0.0;['ARG'];1.39;2;right;19;3.39;15.11;8.0;0.0;23.2;0.05;0;0.05;0.33;6.6;0;0.0;35.0;0.0;0.0;0.05;3.81;0.0;1993-03-20;0.19;0.0;71.94;ARG;0.06;0.28;67.55;;https://cdn5.wyscout.com/photos/players/public/g220646_100x130.png;50.0;0.0;50.0;False;Abha;4;95;5.07;0.93;['RCB'];0.79;0.05;0.0;0;0.0;1;7.07;11.58;F. Noguera;28.21;0;71.71;0.0;000000;73.33;6.42;0.0;0.0;0.14;0;0;0.33;0.05;0.0;3.77;0;RCB;12.5;43.56;100.0;0.0;0.09;['Argentina'];;;2025-07-31;29.41;6.51;1993-03-20;0.09;31.25;0.01;0.84;;;32;0;Argentina
